rxnIDs_ref	modelIDs	refVals	condVals	log2FC	subSystems	grRules
8-Amino-7-oxononanoate transport	r_1104	0	0	0		YNR056C
acetate transport	r_1106	0	0.144212706533446	37.0694073293187		YCR010C
acetic ester transport	r_1107	0	0	0		
adenine transport	r_1108	0	0	0		YER056C or YER060W or YER060W-A or YGL186C
adenosine transport	r_1109	0	0	0		YAL022C
ADP/ATP transporter	r_1110	6.45929093861265	5.52339856235933	-0.225819568936914		YBL030C or YBR085W or YMR056C
ADP/ATP transporter	r_1111	0	0	0		YPR128C
AKG transporter, mitochonrial	r_1112	0	0	0		YMR241W
allantoate uniport	r_1113	0	0	0		YJR152W
allantoin uniport	r_1114	0	0	0		YIR028W
ammonia transport	r_1115	0.587048428203369	0.563570914619683	-0.0588823651003253		YDR384C or YGR121C or YNL142W or YPR138C
AMP/ATP transporter	r_1116	0	0	0		YPR128C
aspartate-glutamate transporter	r_1118	0	0	0		YPR021C
biotin uptake	r_1119	0	0	0		YGR065C
carnithine-acetylcarnithine carrier	r_1120	0	0	0		YOR100C
ceramide-2' (sphinganine:n-C24:0OH) transport	r_1121	0	0	0		
ceramide-2' (sphinganine:n-C26:0OH) transport	r_1122	0	0	0		
ceramide-3 (Phytosphingosine:n-C24:0OH) transport	r_1123	0	0	0		
ceramide-3 (Phytosphingosine:n-C26:0OH) transport	r_1124	0	0	0		
choline transport	r_1125	0	0	0		YGL077C
citrate transport	r_1126	0	0	0		YBR291C
citrate transport	r_1127	0	0	0		YBR291C
citrate transport	r_1128	0	0	0		YBR291C
coenzyme A transport	r_1129	0.0239393141202531	0.0245782875002756	0.0380025804406788		YHR002W
CTP transport	r_1130	0	0	0		YBR192W
CTP/CMP antiport	r_1131	0	0	0		YBR192W
cytidine transport	r_1132	0	0	0		YAL022C
cytosine transport	r_1133	0	0	0		YER056C or YER060W or YER060W-A or YGL186C
D-fructose transport	r_1134	0	0	0	sce04113  Meiosis - yeast	YDL245C or YDR342C or YDR343C or YDR345C or YEL069C or YFL011W or YHR092C or YHR094C or YHR096C or YJL214W or YJL219W or YJR158W or YMR011W or YNR072W or YOL156W
D-galactose transport	r_1135	0	0	0	sce04113  Meiosis - yeast	YDR536W or YFL011W or YJL219W or YLR081W or YNL318C or YOL156W
D-lactate transport	r_1136	0	0	0		YKL217W
D-lactate transport	r_1137	0	0	0		
D-lactate/pyruvate antiport	r_1138	0	0	0		
D-mannose transport	r_1139	0	0	0	sce04113  Meiosis - yeast	YDL245C or YDR342C or YDR343C or YDR345C or YEL069C or YFL011W or YHR092C or YHR094C or YHR096C or YJL214W or YJL219W or YJR158W or YMR011W or YNR072W or YOL156W
episterol transport	r_1146	0	0	0		YIL013C or YOR011W
ergosterol transport	r_1147	0	0	0		YIL013C or YOR011W
ergosterol transport	r_1148	0	0	0		YIL013C or YOR011W
ethanolamine transport	r_1149	0	0	0		YGL077C
fadH2 transport	r_1151	0	0	0		YIL134W
fecosterol transport	r_1161	0	0	0		YIL013C or YOR011W
fecosterol transport	r_1162	0	0	0		YIL013C or YOR011W
folic acid transport	r_1164	0	0	0		
GDP-mannose antiport	r_1165	0	0	0		YGL225W
glucose transport	r_1166	1.1144138202915	1.39783999733024	0.326914178595324	sce04113  Meiosis - yeast	YDL245C or YDL247W or YDR342C or YDR343C or YDR345C or YDR536W or YEL069C or YFL011W or YHR092C or YHR094C or YHR096C or YJL214W or YJL219W or YJR158W or YJR160C or YLR081W or YMR011W or YNR072W or YOL156W or YDR387C
glutathione transport	r_1167	0	0	0		YJL212C
glycero-3-phospho-1-inositol transport	r_1169	0	0	0		YCR098C
glycero-3-phosphocholine transport	r_1170	0	0	0		YCR098C
glycerol transport	r_1171	0	0	0		YDR536W or YGL084C or YPL189W
glycerol transport via channel	r_1172	0	0	0		YFL054C or YLL043W
glycine transport	r_1173	0	0	0		YCL025C or YKR039W or YOL020W or YOR348C or YPL265W
glycogen vacuolar 'transport' via autophagy	r_1174	0	0	0		
GTP/GDP translocase	r_1175	0	0	0		YDL198C
guanine transport	r_1176	0	0	0		YER056C or YER060W or YER060W-A or YGL186C
inositol transport	r_1177	0	0	0		YDR497C or YOL103W
iron (II) transport	r_1179	9.9e-08	9.9e-08	0		YJL133W or YKR052C
isoamyl acetate transport	r_1180	0	0	0		
isobutyl acetate transport	r_1181	0	0	0		
isopentenyl diphosphate transport	r_1182	0	0	0		
L-alanine transport	r_1183	0	0	0		YBR068C or YCL025C or YDR046C or YKR039W or YOL020W or YOR348C or YPL265W
L-arganine transport	r_1184	0	0	0		YEL063C or YKR039W or YNL270C
L-arganine transport	r_1185	0	0	0		YOL092W or YBR293W
L-asparagine transport	r_1186	0	0	0		YCL025C or YDR508C or YKR039W or YPL265W
L-asparagine transport	r_1187	0	0	0		YJR001W
L-aspartate transport	r_1188	0	0	0	sce04138  Autophagy - yeast	YKL146W or YNL101W
L-aspartate transport	r_1189	0	0	0		YER119C
L-aspartate transport	r_1190	0	0	0		YFL055W or YKR039W or YPL265W
L-carnitine transport	r_1191	0	0	0		YBR132C
L-cystine transport	r_1192	0	0	0		YBR068C or YBR069C or YCL025C or YDR046C or YDR508C or YKR039W or YOL020W
L-cystine transport	r_1193	0	0	0		YCR075C
L-glutamate transport	r_1194	0.0648090590529787	0.0583673286724871	-0.15103444690272		YPR021C
L-glutamate transport	r_1195	0	0	0		YER119C
L-glutamate transport	r_1196	0	0	0		YCL025C or YFL055W or YKR039W or YPL265W
L-glutamine transport	r_1197	0	0	0		YJR001W
L-glutamine transport	r_1198	0	0	0	sce04138  Autophagy - yeast	YKL146W or YNL101W
L-glutamine transport	r_1199	0	0	0		YCL025C or YDR508C or YKR039W or YPL265W
L-histidine transport, vacuolar	r_1200	0	0	0		YOL092W or YBR293W or YCL069W or YMR088C
L-histidine transport	r_1201	0	0	0		YBR069C or YGR191W or YKR039W
L-isoleucine transport	r_1202	0	0	0	sce04138  Autophagy - yeast	YCL038C
L-isoleucine transport	r_1203	0	0	0		YJR001W
L-isoleucine transport	r_1204	0	0	0	sce04138  Autophagy - yeast	YKL146W or YNL101W
L-isoleucine transport	r_1205	0	0	0		YBR068C or YBR069C or YCL025C or YDR046C or YKR039W
L-lactate transport	r_1206	0	0	0		YKL217W
L-lactate transport	r_1207	0	0	0		YKL217W
L-leucine transport, vacuoluar	r_1208	0	0	0	sce04138  Autophagy - yeast	YCL038C
L-leucine transport, vacuoluar	r_1209	0	0	0		YJR001W
L-leucine transport, vacuoluar	r_1210	0	0	0	sce04138  Autophagy - yeast	YKL146W or YNL101W
L-leucine transport	r_1211	0	0	0		YBR068C or YBR069C or YCL025C or YDR046C or YDR508C or YKR039W
L-lysine transport	r_1212	0	0	0		YOL092W or YBR293W or YCL069W or YMR088C
L-lysine transport	r_1213	0	0	0		YKR039W or YNL268W
L-methionine transport	r_1214	0	0	0		YBR068C or YCL025C or YDR046C or YDR508C or YGR055W or YHL036W or YKR039W
L-phenylalanine transport	r_1215	0	0	0		YBR068C or YCL025C or YDR046C or YKR039W or YOL020W
L-proline transport	r_1216	0	0	0		YKR039W or YOR348C
L-serine transport	r_1217	0	0	0		YCL025C or YDR508C or YFL055W or YKR039W or YPL265W or YDR105C
L-threonine transport	r_1218	0	0	0		YBR069C or YCL025C or YDR046C or YDR508C or YKR039W
L-tryptophan transport	r_1219	0	0	0		YBR068C or YBR069C or YDR046C or YKR039W or YOL020W
L-tyrosine transport	r_1220	0	0	0	sce04138  Autophagy - yeast	YCL038C
L-tyrosine transport	r_1221	0	0	0		YBR293W or YJR001W
L-tyrosine transport	r_1222	0	0	0	sce04138  Autophagy - yeast	YKL146W or YNL101W
L-tyrosine transport	r_1223	0	0	0		YBR068C or YBR069C or YCL025C or YDR046C or YKR039W or YOL020W
L-valine transport	r_1224	0	0	0		YBR068C or YBR069C or YCL025C or YDR046C or YKR039W
lanosterol transport	r_1225	0	0	0		YIL013C or YOR011W
malate transport	r_1226	0	0	0		YLR348C
maltose transport	r_1227	0	0	0		YBR298C or YDL247W or YGR289C or YJR160C
N,N'-diformyldityrosine transport	r_1228	0	0	0		YBR180W
NAD transport	r_1229	0	0	0		YEL006W or YIL006W
NAD transport	r_1230	0	0	0		YIL006W
NAD transport	r_1231	0	0	0		YIL006W
NAD transport	r_1232	0	0	0		YIL006W
nicotinate transport	r_1235	0	0	0		YGR260W
octadecanoate (n-C18:0) transport	r_1236	0	0	0		YKL188C and YPL147W
ornithine transport	r_1237	0.0185761810131763	0.0160061770703641	-0.214825161114532		YOR130C
orntithine transport	r_1238	0	0	0		YEL063C or YKR039W
oxaloacetate transport	r_1239	0	0	0		YKL120W
pantothenate transport	r_1241	0	0	0		YCR028C
pentaprenyl diphosphate transport	r_1242	0	0	0		
phenethyl acetate transport	r_1243	0	0	0		
phosphate transport	r_1244	0.0280426415956663	0.0283233776070904	0.0143710627871848		YBR296C or YCR037C or YJL198W or YML123C or YNR013C
phosphate transport	r_1245	5.86693888205041	5.49646626187581	-0.094103570743616		YER053C or YJR077C
potassium transport	r_1249	0.00035937	0.00035937	0		YDR456W or YJL129C
putrescine transport	r_1251	0	0	0		YLL028W or YOR273C
putrescine transport	r_1252	0	0	0		YLL028W or YOR273C
pyridoxine symport	r_1253	0	0	0		YGL186C
pyruvate transport	r_1254	0	0	0		YKL217W
S-adenosyl-L-methionine transport	r_1255	0	0	0		YPL274W
S-adenosyl-L-methionine transport	r_1256	0	0	0		YNL003C
S-methylmethionine permease	r_1257	0	0	0		YLL061W
sodium proton antiporter	r_1258	0	0	0		YDR456W or YLR138W
spermidine transport	r_1260	0	0	0		YBR132C or YHL016C or YKR039W or YLL028W or YOR273C or YPL274W
spermidine transport	r_1261	0	0	0		YLL028W or YOR273C
spermine transport	r_1262	0	0	0		YGR138C or YLL028W or YOR273C or YPR156C
spermine transport	r_1263	0	0	0		YGR138C or YLL028W or YOR273C or YPR156C
succinate transport	r_1264	0	0	0		YLR348C
succinate-fumarate transport	r_1265	0.148678468762615	0.0106196805	-3.80738346760531		YJR095W
sulfate uniport	r_1266	0.00796926325833728	0.00768737117053947	-0.0519560282369208		YBR294W or YLR092W
sulfite transport	r_1267	0	0	0		YPL092W
taurine transport	r_1268	0	0	0		
thiamine diphosphate transport	r_1269	0	0	0		YGR096W
thiamine transport	r_1270	0	0	0		YLR237W or YOR071C or YOR192C
UDPgalactose transport	r_1271	0	0	0		YPL244C
uracil transport	r_1272	0	0	0		YBR021W
urea transport	r_1273	0	0	0		YHL016C
uridine transport	r_1274	0	0	0		YBL042C
UTP transport	r_1275	0	0	0		YBR192W
UTP/UMP antiport	r_1276	0	0	0		YBR192W
water diffusion	r_1277	0	0	0		YLL052C or YPR192W
zymosterol transport	r_1278	0	0	0		YIL013C or YOR011W
arginine transport	r_1657	0	0	0		YBR147W
pyruvate transport	r_2034	0.603828184920465	0.348784722352881	-0.791801251345333		(YGL080W and YGR243W) or (YGL080W and YHR162W)
trehalose transporter	r_2079	0	0	0		YGR289C
oxoglutarate/malate exchange	r_2132	0.262571679726358	0.116929347487898	-1.167074249592		YOR222W or YPL134C
fatty acyl-CoA transport via ABC system (C12:0)	r_2219	0	0	0	sce02010  ABC transporters // sce04146  Peroxisome	YKL188C and YPL147W
fatty acyl-CoA transport via ABC system (C14:0)	r_2220	0	0	0	sce02010  ABC transporters // sce04146  Peroxisome	YKL188C and YPL147W
fatty acyl-CoA transport via ABC system (C16:0)	r_2221	0	0	0	sce02010  ABC transporters // sce04146  Peroxisome	YKL188C and YPL147W
fatty acyl-CoA transport via ABC system (C16:1)	r_2222	0	0	0	sce02010  ABC transporters // sce04146  Peroxisome	YKL188C and YPL147W
fatty acyl-CoA transport via ABC system (C18:0)	r_2223	0	0	0	sce02010  ABC transporters // sce04146  Peroxisome	YKL188C and YPL147W
fatty acyl-CoA transport via ABC system (C18:1)	r_2224	0	0	0	sce02010  ABC transporters // sce04146  Peroxisome	YKL188C and YPL147W
fatty acyl-CoA transport via ABC system (C20:0)	r_2225	0	0	0	sce02010  ABC transporters // sce04146  Peroxisome	YKL188C and YPL147W
fatty acyl-CoA transport via ABC system (C22:0)	r_2226	0	0	0	sce02010  ABC transporters // sce04146  Peroxisome	YKL188C and YPL147W
fatty acyl-CoA transport via ABC system (C24:0)	r_2227	0	0	0	sce02010  ABC transporters // sce04146  Peroxisome	YKL188C and YPL147W
fatty acyl-CoA transport via ABC system (C26:0)	r_2228	0	0	0	sce02010  ABC transporters // sce04146  Peroxisome	YKL188C and YPL147W
inositol-P-ceramide B' (C24) [Golgi] SLIME rxn	r_1449	0	0	0		
inositol-P-ceramide B' (C26) [Golgi] SLIME rxn	r_1450	0	0	0		
inositol-P-ceramide C (C24) [Golgi] SLIME rxn	r_1451	0	0	0		
inositol-P-ceramide C (C26) [Golgi] SLIME rxn	r_1452	0	0	0		
inositol-P-ceramide A (C24) [Golgi] SLIME rxn	r_1453	0	0	0		
inositol-P-ceramide A (C26) [Golgi] SLIME rxn	r_1454	0	0	0		
inositol-P-ceramide B (C24) [Golgi] SLIME rxn	r_1455	0	0	0		
inositol-P-ceramide B (C26) [Golgi] SLIME rxn	r_1456	0	0	0		
inositol-P-ceramide D (C24) [Golgi] SLIME rxn	r_1457	0	0	0		
inositol-P-ceramide D (C26) [Golgi] SLIME rxn	r_1458	0	0	0		
inositol phosphomannosylinositol phosphoceramide A (C24) [Golgi] SLIME rxn	r_1479	0	0	0		
inositol phosphomannosylinositol phosphoceramide A (C26) [Golgi] SLIME rxn	r_1480	0	0	0		
inositol phosphomannosylinositol phosphoceramide B' (C24) [Golgi] SLIME rxn	r_1481	0	0	0		
inositol phosphomannosylinositol phosphoceramide B' (C26) [Golgi] SLIME rxn	r_1482	0	0	0		
inositol phosphomannosylinositol phosphoceramide B (C24) [Golgi] SLIME rxn	r_1483	0	0	0		
inositol phosphomannosylinositol phosphoceramide B (C26) [Golgi] SLIME rxn	r_1484	0	0	0		
inositol phosphomannosylinositol phosphoceramide C (C24) [Golgi] SLIME rxn	r_1485	0	0	0		
inositol phosphomannosylinositol phosphoceramide C (C26) [Golgi] SLIME rxn	r_1486	0	0	0		
inositol phosphomannosylinositol phosphoceramide D (C24) [Golgi] SLIME rxn	r_1487	0	0	0		
inositol phosphomannosylinositol phosphoceramide D (C26) [Golgi] SLIME rxn	r_1488	0	0	0		
mannosylinositol phosphorylceramide B' (C24) [Golgi] SLIME rxn	r_1509	0	0	0		
mannosylinositol phosphorylceramide B' (C26) [Golgi] SLIME rxn	r_1510	0	0	0		
mannosylinositol phosphorylceramide C (C24) [Golgi] SLIME rxn	r_1511	0	0	0		
mannosylinositol phosphorylceramide C (C26) [Golgi] SLIME rxn	r_1512	0	0	0		
mannosylinositol phosphorylceramide A (C24) [Golgi] SLIME rxn	r_1513	0	0	0		
mannosylinositol phosphorylceramide A (C26) [Golgi] SLIME rxn	r_1514	0	0	0		
mannosylinositol phosphorylceramide B (C24) [Golgi] SLIME rxn	r_1515	0	0	0		
mannosylinositol phosphorylceramide B (C26) [Golgi] SLIME rxn	r_1516	0	0	0		
mannosylinositol phosphorylceramide D (C24) [Golgi] SLIME rxn	r_1517	0	0	0		
mannosylinositol phosphorylceramide D (C26) [Golgi] SLIME rxn	r_1518	0	0	0		
1-phosphatidyl-1D-myo-inositol (1-16:0, 2-16:1) [cytoplasm] SLIME rxn	r_3963	0	0	0		
1-phosphatidyl-1D-myo-inositol (1-16:1, 2-16:1) [cytoplasm] SLIME rxn	r_3964	0.000915106457319702	0.000951155043247216	0.0557409405119228		
1-phosphatidyl-1D-myo-inositol (1-18:0, 2-16:1) [cytoplasm] SLIME rxn	r_3965	0	0	0		
1-phosphatidyl-1D-myo-inositol (1-18:1, 2-16:1) [cytoplasm] SLIME rxn	r_3966	0	0	0		
1-phosphatidyl-1D-myo-inositol (1-16:0, 2-18:1) [cytoplasm] SLIME rxn	r_3967	0	0	0		
1-phosphatidyl-1D-myo-inositol (1-16:1, 2-18:1) [cytoplasm] SLIME rxn	r_3968	0	0	0		
1-phosphatidyl-1D-myo-inositol (1-18:0, 2-18:1) [cytoplasm] SLIME rxn	r_3969	0	0	0		
1-phosphatidyl-1D-myo-inositol (1-18:1, 2-18:1) [cytoplasm] SLIME rxn	r_3970	0	0	0		
ergosteryl palmitoleate [endoplasmic reticulum membrane] SLIME rxn	r_3971	0.00114892885218814	0	-30.0976423153529		
ergosteryl oleate [endoplasmic reticulum membrane] SLIME rxn	r_3972	0	0.00114351318231141	30.0908258510832		
palmitate [cytoplasm] SLIME rxn	r_3975	0	0	0		
palmitoleate [cytoplasm] SLIME rxn	r_3976	0.000624209809416442	0.000648799168142477	0.0557409405119228		
stearate [cytoplasm] SLIME rxn	r_3977	0	0	0		
oleate [cytoplasm] SLIME rxn	r_3978	0	0	0		
phosphatidyl-L-serine (1-16:0, 2-16:1) [endoplasmic reticulum membrane] SLIME rxn	r_3979	0	0	0		
phosphatidyl-L-serine (1-16:1, 2-16:1) [endoplasmic reticulum membrane] SLIME rxn	r_3980	0.00086886006492265	0.00090308687696055	0.0557409405119225		
phosphatidyl-L-serine (1-18:0, 2-16:1) [endoplasmic reticulum membrane] SLIME rxn	r_3981	0	0	0		
phosphatidyl-L-serine (1-18:1, 2-16:1) [endoplasmic reticulum membrane] SLIME rxn	r_3982	0	0	0		
phosphatidyl-L-serine (1-16:0, 2-18:1) [endoplasmic reticulum membrane] SLIME rxn	r_3983	0	0	0		
phosphatidyl-L-serine (1-16:1, 2-18:1) [endoplasmic reticulum membrane] SLIME rxn	r_3984	0	0	0		
phosphatidyl-L-serine (1-18:0, 2-18:1) [endoplasmic reticulum membrane] SLIME rxn	r_3985	0	0	0		
phosphatidyl-L-serine (1-18:1, 2-18:1) [endoplasmic reticulum membrane] SLIME rxn	r_3986	0	0	0		
phosphatidylcholine (1-16:0, 2-16:1) [endoplasmic reticulum membrane] SLIME rxn	r_3988	0	0.00154242849451452	30.5225564629717		
phosphatidylcholine (1-16:1, 2-16:1) [endoplasmic reticulum membrane] SLIME rxn	r_3989	0	0	0		
phosphatidylcholine (1-18:0, 2-16:1) [endoplasmic reticulum membrane] SLIME rxn	r_3990	0.000330728912939325	0	-28.3010739332364		
phosphatidylcholine (1-18:1, 2-16:1) [endoplasmic reticulum membrane] SLIME rxn	r_3991	4.21395037159884e-05	0	-25.328669987605		
phosphatidylcholine (1-16:0, 2-18:1) [endoplasmic reticulum membrane] SLIME rxn	r_3992	0.00273132298094643	0.00196018656199098	-0.478608953653247		
phosphatidylcholine (1-16:1, 2-18:1) [endoplasmic reticulum membrane] SLIME rxn	r_3993	0	0.000161989229990312	27.2713226564305		
phosphatidylcholine (1-18:0, 2-18:1) [endoplasmic reticulum membrane] SLIME rxn	r_3994	0.000520643596305824	0.000158181097700069	-1.71871891029768		
phosphatidylcholine (1-18:1, 2-18:1) [endoplasmic reticulum membrane] SLIME rxn	r_3995	0	0	0		
phosphatidylethanolamine (1-16:0, 2-16:1) [endoplasmic reticulum membrane] SLIME rxn	r_3997	0.000638543665368893	0	-29.2502100378479		
phosphatidylethanolamine (1-16:1, 2-16:1) [endoplasmic reticulum membrane] SLIME rxn	r_3998	0.000436036714157254	0.000360361262492138	-0.275005679509882		
phosphatidylethanolamine (1-18:0, 2-16:1) [endoplasmic reticulum membrane] SLIME rxn	r_3999	0	0.000726729340176617	29.4368429123907		
phosphatidylethanolamine (1-18:1, 2-16:1) [endoplasmic reticulum membrane] SLIME rxn	r_4000	0	0	0		
phosphatidylethanolamine (1-16:0, 2-18:1) [endoplasmic reticulum membrane] SLIME rxn	r_4001	0	0	0		
phosphatidylethanolamine (1-16:1, 2-18:1) [endoplasmic reticulum membrane] SLIME rxn	r_4002	0	0	0		
phosphatidylethanolamine (1-18:0, 2-18:1) [endoplasmic reticulum membrane] SLIME rxn	r_4003	0	0	0		
phosphatidylethanolamine (1-18:1, 2-18:1) [endoplasmic reticulum membrane] SLIME rxn	r_4004	0	0	0		
triglyceride (1-16:0, 2-16:1, 3-16:0) [endoplasmic reticulum membrane] SLIME rxn	r_4006	0	0	0		
triglyceride (1-16:0, 2-18:1, 3-16:0) [endoplasmic reticulum membrane] SLIME rxn	r_4007	0	0	0		
triglyceride (1-16:1, 2-16:1, 3-16:0) [endoplasmic reticulum membrane] SLIME rxn	r_4008	0	0	0		
triglyceride (1-16:1, 2-18:1, 3-16:0) [endoplasmic reticulum membrane] SLIME rxn	r_4009	0	0	0		
triglyceride (1-18:0, 2-16:1, 3-16:0) [endoplasmic reticulum membrane] SLIME rxn	r_4010	0	0	0		
triglyceride (1-18:0, 2-18:1, 3-16:0) [endoplasmic reticulum membrane] SLIME rxn	r_4011	0	0	0		
triglyceride (1-18:1, 2-16:1, 3-16:0) [endoplasmic reticulum membrane] SLIME rxn	r_4012	0	0	0		
triglyceride (1-18:1, 2-18:1, 3-16:0) [endoplasmic reticulum membrane] SLIME rxn	r_4013	0	0	0		
triglyceride (1-16:0, 2-16:1, 3-16:1) [endoplasmic reticulum membrane] SLIME rxn	r_4014	0	0	0		
triglyceride (1-16:0, 2-18:1, 3-16:1) [endoplasmic reticulum membrane] SLIME rxn	r_4015	0	0	0		
triglyceride (1-16:1, 2-16:1, 3-16:1) [endoplasmic reticulum membrane] SLIME rxn	r_4016	0.000914548105950288	0.000950574696866012	0.0557409405119225		
triglyceride (1-16:1, 2-18:1, 3-16:1) [endoplasmic reticulum membrane] SLIME rxn	r_4017	0	0	0		
triglyceride (1-18:0, 2-16:1, 3-16:1) [endoplasmic reticulum membrane] SLIME rxn	r_4018	0	0	0		
triglyceride (1-18:0, 2-18:1, 3-16:1) [endoplasmic reticulum membrane] SLIME rxn	r_4019	0	0	0		
triglyceride (1-18:1, 2-16:1, 3-16:1) [endoplasmic reticulum membrane] SLIME rxn	r_4020	0	0	0		
triglyceride (1-18:1, 2-18:1, 3-16:1) [endoplasmic reticulum membrane] SLIME rxn	r_4021	0	0	0		
triglyceride (1-16:0, 2-16:1, 3-18:0) [endoplasmic reticulum membrane] SLIME rxn	r_4022	0	0	0		
triglyceride (1-16:0, 2-18:1, 3-18:0) [endoplasmic reticulum membrane] SLIME rxn	r_4023	0	0	0		
triglyceride (1-16:1, 2-16:1, 3-18:0) [endoplasmic reticulum membrane] SLIME rxn	r_4024	0	0	0		
triglyceride (1-16:1, 2-18:1, 3-18:0) [endoplasmic reticulum membrane] SLIME rxn	r_4025	0	0	0		
triglyceride (1-18:0, 2-16:1, 3-18:0) [endoplasmic reticulum membrane] SLIME rxn	r_4026	0	0	0		
triglyceride (1-18:0, 2-18:1, 3-18:0) [endoplasmic reticulum membrane] SLIME rxn	r_4027	0	0	0		
triglyceride (1-18:1, 2-16:1, 3-18:0) [endoplasmic reticulum membrane] SLIME rxn	r_4028	0	0	0		
triglyceride (1-18:1, 2-18:1, 3-18:0) [endoplasmic reticulum membrane] SLIME rxn	r_4029	0	0	0		
triglyceride (1-16:0, 2-16:1, 3-18:1) [endoplasmic reticulum membrane] SLIME rxn	r_4030	0	0	0		
triglyceride (1-16:0, 2-18:1, 3-18:1) [endoplasmic reticulum membrane] SLIME rxn	r_4031	0	0	0		
triglyceride (1-16:1, 2-16:1, 3-18:1) [endoplasmic reticulum membrane] SLIME rxn	r_4032	0	0	0		
triglyceride (1-16:1, 2-18:1, 3-18:1) [endoplasmic reticulum membrane] SLIME rxn	r_4033	0	0	0		
triglyceride (1-18:0, 2-16:1, 3-18:1) [endoplasmic reticulum membrane] SLIME rxn	r_4034	0	0	0		
triglyceride (1-18:0, 2-18:1, 3-18:1) [endoplasmic reticulum membrane] SLIME rxn	r_4035	0	0	0		
triglyceride (1-18:1, 2-16:1, 3-18:1) [endoplasmic reticulum membrane] SLIME rxn	r_4036	0	0	0		
triglyceride (1-18:1, 2-18:1, 3-18:1) [endoplasmic reticulum membrane] SLIME rxn	r_4037	0	0	0		
(1->3)-beta-D-glucan exchange	r_1542	0	0	0		
(1->3)-beta-D-glucan transport	r_1543	0	0	0		
(R)-carnitine exchange	r_1545	0	0	0		
(R)-lactate exchange	r_1546	0	0	0		
(R)-mevalonate exchange	r_1547	0	0	0		
(R)-pantothenate exchange	r_1548	0	0	0		
(R,R)-2,3-butanediol exchange	r_1549	0	0.220956972023168	37.6849744980266		
(S)-3-methyl-2-oxopentanoate exchange	r_1550	0	0	0		
(S)-lactate exchange	r_1551	0	0	0		
(S)-malate exchange	r_1552	0	0	0		
1-(sn-glycero-3-phospho)-1D-myo-inositol exchange	r_1553	0	0	0		
1-acylglycerophosphocholine exchange	r_1554	0	0	0		
1D-myo-inositol 1,3,4,5,6-pentakisphosphate diffusion	r_1560	0	0	0		
1D-myo-inositol 1-phosphate transport	r_1562	0	0	0		
2'-deoxyadenosine exchange	r_1563	0	0	0		
2'-deoxyguanosine exchange	r_1564	0	0	0		
2'-deoxyinosine exchange	r_1565	0	0	0		
2'-deoxyuridine exchange	r_1566	0	0	0		
2-dehydro-3-deoxy-D-arabino-heptonate7-phohsphate transport	r_1567	0	0	0		
2-dehydropantoate transport	r_1568	0	0	0		
2-isopropylmalate exchange	r_1572	0	0	0		
